LinkID	BA	Anode	Bnode	Length
1685472	S	4085	2002	0.058671
3215090	SE	2002	77	0.066706
2214217	SW	6411	2051	0.042999
3214227	NW	2051	6412	0.178825
2210030	S	6363	2053	0.074685
3214057	SW	2053	6365	0.073515
1578642		3800	3775	0.401457
1578878	SW	3795	11775	0.102063
1578861		3802	3798	0.118947
1578570		10913	3799	0.213383
1580422		3799	3812	0.480048
1580872		3818	3800	0.36035
1578897		3800	3802	0.119369
3220444		3801	10910	0.218483
3220445		10912	3802	0.141202
3220449		10910	3803	0.026757
3221591	SW	11740	3803	0.008742
3221592	SW	3803	3804	0.021719
1580399	NE	3805	3804	0.036235
1578891		10910	3804	0.028117
3220442		3804	10909	0.024233
1580833	NE	3814	3805	0.020756
1580827		3813	3805	0.031224
1579303		3805	10912	0.021368
1580898		3817	3812	0.053468
1581166		3812	3825	0.32225
1580892		3819	3813	0.147814
1580839		3813	3814	0.028416
3220443		3813	10909	0.091984
1580854	NE	3815	3814	0.123655
1683750	SW	3815	11774	0.127047
1580416		10909	3817	0.168905
1581118		3817	3823	0.2048
1962844		4991	3818	0.364381
1581037		3818	3819	0.097145
3220437		10906	3819	0.119703
1962820		4990	3820	0.165618
1581089	SE	3820	10905	0.018119
1581043		3820	10906	0.015229
1581149	NW	3820	3823	0.038235
3220654	SE	10905	3821	0.082044
1684354	SE	3821	11727	0.141556
1581128	SE	3822	3823	0.022226
3220440		3823	10908	0.020307
1581134		10908	3824	0.041408
1962834		3824	3825	0.061628
1962992		3824	4993	0.258102
1963004		3825	4994	0.254823
1663967	SW	4028	4029	0.281562
1681431	NE	4068	4029	0.350137
1664055	SE	4029	4030	0.190943
1664155	SW	4032	11755	0.279146
1673462	SW	4033	11757	0.015615
1673451	SE	4033	11758	0.013539
1680443	SW	4058	4062	0.43654
1680591	SE	4077	4062	0.191706
1680584	SW	4062	4080	0.311437
1680562	SE	4062	4063	0.168311
1682081	SE	4063	97	0.233365
1680609	SW	4064	4067	0.205665
3221604	SW	11749	90	0.029882
1682091	SW	4065	4070	0.348851
1682068	SE	4065	4066	0.386162
1681409	SE	4066	4067	0.108966
3220103	NE	10721	4067	0.199394
1681944	SE	4067	4068	0.154439
3221605	E	11750	4068	0.072256
1681461	SE	4068	10719	0.287718
1682415	E	4073	55	0.386765
1682300	SE	4072	4069	0.468362
1682155	SE	4069	4071	0.426586
1682029	NE	4069	10721	0.197794
1685041	E	4086	81	0.006192
1686247	S	4071	4101	0.330591
1686374	W	4071	4103	0.173047
1685103	SE	4088	72	0.005586
1685349	E	4093	4073	0.351689
1685204	SE	4092	4073	0.292531
1685231	S	4073	11737	0.050944
1683082	S	4074	4076	0.244278
1683135	SE	4082	4076	0.224496
1683665	SE	4076	4079	0.094849
3221603	SW	11748	4077	0.033316
1683584	SE	4079	4077	0.242624
1683590	SW	4077	4078	0.24212
1683625	S	4078	4080	0.273523
3221602	S	11747	4079	0.010111
1684588	SW	4079	10661	0.277247
3221608	NW	11753	4080	0.011536
1685029	S	4080	82	0.106669
3221579	S	11727	4081	0.03815
1684513	SW	4081	11733	0.131839
3221580	SE	4081	4082	0.3001
3221586	SW	11733	4083	0.080198
1684538	SW	4083	6358	0.321917
3219961	SW	10661	4084	0.249484
3221606	SE	11751	4084	0.032149
1684594	SW	4084	4085	0.207469
1685409	SE	4084	84	0.224987
3221607	W	11752	4085	0.030889
1686002	W	4085	4096	0.207577
1685120	E	4089	83	0.009601
1685055	S	4086	79	0.004454
1685097	SW	4087	74	0.111553
1685138	S	4089	86	0.008456
1685162	SW	4088	71	0.003462
1685432	W	4089	85	0.005543
1685169	SE	4091	70	0.348362
1686053	SW	4090	69	0.004032
1685264	SE	4090	67	0.00416
1685453	SE	4094	76	0.005676
1686091	S	4098	61	0.006953
1690223	S	4093	10589	0.320475
1686022	SW	4094	75	0.006485
1686032	SE	4097	4095	0.111527
1686066	SE	4095	63	0.40722
2212327	SE	6359	4096	0.268115
3221609	NE	11754	4096	0.02855
1686042	SE	4096	4097	0.150628
2212424	SW	4097	13	0.717557
3221583	SW	4098	60	0.005371
1686234	SW	4100	4101	0.350394
1686299	SW	4101	4102	0.079436
1686407	SE	4103	4102	0.362538
1686367	SW	4102	11761	0.324229
1687663	SW	4104	4105	0.11817
1687701	SW	4105	11764	0.205428
1687707	NW	4105	8466	0.300435
3214113	SW	8466	4106	0.39063
1690850	S	4128	64	0.298067
3219816	SW	4106	65	0.005106
1690844	SE	4106	66	0.014158
1692862	SW	4111	58	0.005183
1692849	SE	4111	4112	0.264478
1692881		31	11710	0.329604
3221590	S	11737	4125	0.345298
1689974	SW	4125	4126	0.047575
1689923	SE	4125	54	0.166481
1690264		4130	4126	0.223065
1690234		4126	4130	0.221666
1690181	S	4127	4128	0.523841
1690365	S	4130	4128	0.260962
3219814	S	10589	4130	0.191719
1694023		4143	4133	0.048493
1692272		4133	11706	0.141793
1692313		4138	4134	0.091856
1692209		4134	4135	0.23806
2226074		4134	6498	0.413084
3221565		11714	4135	0.514469
2225261		4135	6414	0.339681
3219646		10507	2	0.030579
3221550		11704	4139	0.042905
1692290	SW	4139	50	0.076808
3219640		4139	11707	0.05908
2226101		10208	4140	0.20795
1692284		4140	11704	0.271992
3221594		11742	4141	0.003732
3221595	SW	11743	4141	0.00439
1692900	SW	4141	4142	0.031414
1692978		4141	11708	0.008862
3221557		11709	4142	0.005873
3221559	SW	4142	11745	0.003484
3219208		4142	11744	0.002408
3219211		10207	4143	0.145073
3221599	SW	11745	11768	0.173517
1962244		4986	4987	0.07794
1962758	SE	4989	4987	0.166144
1962939		4992	4990	0.182669
1962956		4991	4990	0.128434
1963613		4997	4991	0.262276
1963631		4998	4992	0.153735
1963724		4993	4999	0.203245
2209983		4994	6364	0.393696
1963702		4994	4999	0.139503
2208575		6356	4997	0.114569
2210069		6368	4997	0.332753
2208562		6356	4998	0.13819
2208540	SE	4998	6357	0.075128
2209970		4999	10777	0.262692
1965762	SW	5012	19	0.271027
1965926	SE	5013	5014	0.13402
1966299	S	5014	6419	0.188371
1965932	SE	5014	11724	0.196338
2209977		6363	6356	0.056342
2208391	SE	28	6358	0.122187
2209307	SW	6358	6360	0.27378
2209911	SE	6360	6359	0.37518
2209901	SE	6361	6360	0.167579
2209936	SW	6360	11734	0.380585
2211111	SE	6377	6361	0.182875
2211529	SW	6361	6387	0.437511
3220220		10778	6363	0.091063
2211057		6364	10814	0.19567
3218916		6364	10788	0.306687
2210775	SE	6370	6365	0.038104
2210766	S	6365	6376	0.040896
3220219		10777	6366	0.005019
2210173		6373	18	0.020502
2210126		6371	6366	0.041665
2210187		6366	10776	0.004832
2210144		6366	6371	0.043361
2210163		6366	6373	0.032854
3221576	SE	11724	20	0.044572
2210809	SE	6367	6373	0.03532
3220650		11027	6368	0.240725
2211086		6384	6368	0.400219
2210107		6371	6370	0.020241
3221575		10775	6370	0.029582
2210093		6370	6371	0.030905
3220216		10775	6371	0.015132
2210087		6371	10778	0.005507
2210790	SE	6378	6376	0.143962
2210784	S	6376	6377	0.164834
2211570	SW	6377	6385	0.172351
2211002		6381	17	0.124369
2210202		6378	10775	0.076296
3220385		10878	6379	0.038042
2215773		6379	10816	0.017205
2215103	NW	6379	6421	0.170568
3220292		10827	6381	0.226909
3221574		11723	6381	0.204069
2211810	E	6388	6382	0.26092
2211646	NW	6385	6382	0.108847
3220293		10827	6384	0.206305
2217155		10825	6384	0.588166
3221587	SW	11734	6386	0.068438
2211780	S	6387	6386	0.285098
2213323	SW	6386	6396	0.13182
2211897	E	6391	6387	0.119262
3218921		10039	6388	0.085304
2211832		6388	11723	0.00835
3220244		10794	6391	0.09956
2211912		6391	10039	0.081983
2217125		10789	6393	0.312437
2216703		10823	6393	0.216676
3221432		6393	11625	0.124048
2214226	S	6397	24	0.192768
3221568	N	11717	13	0.314305
2213451	SW	6396	11736	0.012269
2213394	SE	6396	6397	0.403598
3221546		11701	26	0.120729
2213445		26	6399	0.028747
2214166		26	6401	0.099516
2214094		6399	6403	0.240581
2213499		6403	6400	0.040317
3221588	SW	11735	6400	0.015131
2213505	SW	6400	6404	0.025426
2213492		6400	6402	0.013895
2214284		11690	6401	0.297066
3218926		6401	10041	0.318276
2213519		6405	6402	0.040873
2213548		6402	10508	0.055622
2214130		6403	6409	0.06122
2213542		6405	6404	0.036663
2214210	SW	6404	11720	0.035585
2214154		6404	6409	0.026266
3221570		11719	6405	0.032542
2220105		10038	6407	0.052838
2213584		6407	11719	0.141116
2214100		11625	6408	0.232716
2214179		6408	10212	0.169147
3221541		6408	11694	0.813959
2214192		6409	6411	0.190879
2214374		6411	35	0.053991
3221571	SW	11720	6412	0.140977
2221588	SW	6412	6475	0.246572
3219215		6414	10209	0.519358
2226026		6414	6507	0.140617
3221545		11700	6416	0.06172
2226968		6416	6506	0.231651
2214353	W	6416	43	0.070466
2222129	SE	6476	6417	0.338141
2215011	E	6418	6510	0.3387
2222099	NW	6418	6477	0.442956
2215081	S	6419	88	0.047657
2215075	W	6419	6420	0.068282
2215113	SW	6421	6422	0.07486
3220249		10797	6422	0.076017
2215119		6422	94	0.031045
2215894		6430	6438	0.291848
3220243		10793	6432	0.239456
3220240		10791	6432	0.124263
3221443		6432	11637	0.276218
2215745		6433	6434	0.047385
2215866		6434	6436	0.219162
2215884	SE	6437	6436	0.105546
3220282		6436	10820	0.030595
2216684		6438	10785	0.292016
3220284		6438	10822	0.367316
2216562		10782	6442	0.144054
2216716		6442	6447	0.101582
2216635		10815	6444	0.353008
3220649		11026	6444	0.215688
2217378		6444	6455	0.169862
2216658		11630	6446	0.174039
2217271		6446	11722	0.073649
2217178	W	6446	6449	0.177919
3220287		6447	11721	0.093011
2220860		6472	6448	0.156379
3220238		6448	10790	0.202932
3220290		6448	10825	0.194422
2217303	S	6452	6451	0.117064
3220280		10819	6451	0.169486
2217316		6451	10773	0.035206
