linkid  直行	左转	右转
1685472	3215090		
-3215090	-1685472		
3215090	3221746		3221747
-1685472	-1684594	1686002	-3221607
-3214227	-3221686	-2214217	
2214217		-3221686	3214227
-2214217			2214374
3214227		2221588	-3221571
-3214057	-2210030		
2210030	3214057		
-2210030			2209977
3214057			-2210775
1578642			
-1578878			
1578878	3221578	-3221637	-3221638
1578861			
1578570	1580422		
1580422	1581166		
1580872	1578642		1578897
1578897	1578861		
3220444	1578891	3220446	3220449
3220445	1578861		
3220449			-3221591
3221591	3221592		
-3221592	-3221591		
-3221591	-3221578	-3221593	-3221639
3221592	-1580399		3220442
1580399	-3221592	3220442	
1578891	3220442	-1580399	
-1580399	-1580833	1579303	
3220442	1580416		
1580833	1580399		1579303
1580827	1579303	1580399	
-1580833	-1580854		
1579303	3220445		
1580898	1581166		
1581166	1963004		
1580892	1580827	3220443	1580839
1580839			-1580854
3220443	1580416		
1580854	1580833		
-1580854	1683750	-3221640	-3221641
-1683750	1580854	-3221641	-3221640
1683750	3221634		3221635
1580416	1581118	1580898	
1581118	3220440	-1581149	-1581128
1962844	1580872		1581037
1581037	1580892		
3220437	1580892		
1962820	1581043	1581149	1581089
-1581089	1581149		
-1581149	1581089	1581043	
1581089	3220654		
1581043	3220437		
1581149	-1581128	3220440	
3220654	1684354		
-1684354	-3220654		
1684354	3221579		
-3220654	-1581089		3220438
1581128	-1581149		
-1581128	-3221577		1580375
3220440	1581134		
1581134	1962992	1962834	
1962834	1963004		
1962992	1963724		
1963004	2209983		1963702
-1663967			
1663967		1664055	-1681431
1681431	1664055	-1663967	
-1664055	-1681431		-1663967
1664055			
-1681431	-3221605	1681461	-1681944
-1664155			
1664155	3221611		3221613
-1673462	-3221611	-3221612	
-1673451	-3221612	1673462	-3221611
1673462	3221614		
1673451	3221615		
-1680443			
1680443	1680584	1680562	-1680591
-1680584	-1680443	-1680591	1680562
-1680562	-1680591	1680584	-1680443
1680591	1680562	-1680443	1680584
1680584	1685029	-3221608	-1683625
