NodeID	¾­¶È	   Î³¶È
2	-98569214	29537341
3	-98570590	29536784
4	-98570576	29536899
5	-98576859	29542324
6	-98577195	29543192
7	-98577152	29542391
8	-98574127	29540604
9	-98574077	29540558
10	-98562646	29530697
11	-98561638	29531665
12	-98561403	29520176
13	-98560558	29519510
14	-98571458	29513520
15	-98569214	29515675
16	-98563737	29508179
17	-98551906	29497265
18	-98554255	29493501
19	-98553848	29492167
20	-98553430	29492155
21	-98552957	29492913
22	-98556057	29496019
23	-98561062	29525918
24	-98557665	29517586
25	-98557327	29514856
26	-98554176	29515742
27	-98561820	29492313
28	-98563150	29498106
29	-98580940	29545883
30	-98554721	29501098
31	-98583837	29547758
32	-98580108	29545516
33	-98581377	29546579
34	-98552357	29515827
35	-98553175	29516103
36	-98552971	29516154
37	-98553430	29517019
38	-98553237	29517058
39	-98554032	29518946
40	-98553845	29518306
41	-98553561	29518366
42	-98553822	29518995
43	-98553863	29522794
44	-98554517	29523169
45	-98559334	29530848
46	-98555088	29526134
47	-98560369	29530098
48	-98558183	29531819
49	-98568152	29539520
50	-98569558	29540684
51	-98567925	29539273
52	-98572368	29542627
53	-98568577	29541651
54	-98582259	29528026
55	-98586530	29521044
56	-98586703	29528420
57	-98580846	29542306
58	-98580684	29542754
59	-98581220	29542370
60	-98572976	29520386
61	-98573322	29520458
62	-98573552	29519734
63	-98573191	29519654
64	-98578203	29537310
65	-98578021	29537646
66	-98578444	29537878
67	-98576711	29516092
68	-98576638	29515787
69	-98576292	29516166
70	-98576255	29515820
71	-98578068	29513760
72	-98578465	29513759
73	-98577989	29513373
74	-98578375	29513374
75	-98571242	29510663
76	-98571586	29510659
77	-98571224	29510379
78	-98571547	29510397
79	-98580120	29510574
80	-98579936	29510239
81	-98580535	29510425
82	-98580323	29510080
83	-98574321	29509126
84	-98573980	29508913
85	-98573701	29509179
86	-98574041	29509419
87	-98554276	29526843
88	-98549099	29493367
89	-98548497	29493748
90	-98590508	29508106
91	-98590096	29507830
92	-98547811	29494229
94	-98547855	29494359
95	-98589361	29508564
97	-98589183	29508437
99	-98589476	29508283
2002	-98570390	29509670
2051	-98552230	29515689
2053	-98556364	29494431
3775	-98581525	29488954
3795	-98578153	29485637
3798	-98578922	29489714
3799	-98578009	29489516
3800	-98574920	29489617
3801	-98578880	29489160
3802	-98576920	29489873
3803	-98574917	29488874
3804	-98574512	29489219
3805	-98573843	29489878
3812	-98570011	29489374
3813	-98573032	29489829
3814	-98573424	29490228
3815	-98571981	29491707
3817	-98570921	29489218
3818	-98568817	29489479
3819	-98570526	29489736
3820	-98567846	29489708
3821	-98568981	29491036
3822	-98566760	29488605
3823	-98567230	29489003
3824	-98565668	29489083
3825	-98564624	29489302
4028	-98603529	29513336
4029	-98600700	29516649
4030	-98603480	29518133
4032	-98603269	29520322
4033	-98599849	29523730
4051	-98606315	29533952
4058	-98588935	29499542
4062	-98584069	29504462
4063	-98586251	29506221
4064	-98595516	29513290
4065	-98589769	29508939
4066	-98592061	29514200
4067	-98593120	29515657
4068	-98594981	29517583
4069	-98588529	29520246
4070	-98584420	29511187
4071	-98590766	29525716
4072	-98583422	29515091
4073	-98579818	29521189
4074	-98578230	29495569
4076	-98576875	29498811
4077	-98581394	29502493
4078	-98578737	29505377
4079	-98578129	29500025
4080	-98580964	29508429
4081	-98569967	29493682
4082	-98573892	29496631
4083	-98567348	29496234
4084	-98572089	29506039
4085	-98570002	29508745
4086	-98580220	29510335
4087	-98579430	29511947
4088	-98578224	29513560
4089	-98574006	29509140
4090	-98576480	29515966
4091	-98573031	29511754
4092	-98578306	29517198
4093	-98573723	29521397
4094	-98571405	29510516
4095	-98570409	29514208
4096	-98567194	29510868
4097	-98568998	29512760
4098	-98573256	29520080
4100	-98597980	29525644
4101	-98593954	29529528
4102	-98592931	29530568
4103	-98588268	29526921
4104	-98589019	29534593
4105	-98587472	29536022
4106	-98578330	29537514
4111	-98580976	29542590
4112	-98582960	29546228
4116	-98584951	29548851
4125	-98579673	29526826
4126	-98579157	29527492
4127	-98582189	29528728
4128	-98576727	29533083
4130	-98575879	29529112
4132	-98576762	29537749
4133	-98573286	29540821
4134	-98567358	29535649
4135	-98564470	29533252
4138	-98568497	29536691
4139	-98570527	29539720
4140	-98566911	29536174
4141	-98579021	29544364
4142	-98578521	29544823
4143	-98573960	29541251
4146	-98571170	29552038
4986	-98565309	29486370
4987	-98564502	29487412
4989	-98562241	29485858
4990	-98564802	29489717
4991	-98562613	29489786
4992	-98561714	29490355
4993	-98561347	29489789
4994	-98560437	29490342
4997	-98558676	29491480
4998	-98559244	29491456
4999	-98558298	29491251
5012	-98556242	29488765
5013	-98549144	29487700
5014	-98550586	29489376
6356	-98557308	29492678
6357	-98559922	29492439
6358	-98563646	29499812
6359	-98564283	29507672
6360	-98560503	29503047
6361	-98558605	29500930
6363	-98556522	29493348
6364	-98554974	29493770
6365	-98555406	29495330
6366	-98554438	29493637
6367	-98553619	29492461
6368	-98554253	29494436
6370	-98555079	29494935
6371	-98554854	29494441
6373	-98554060	29493092
6376	-98555612	29496138
6377	-98556735	29498569
6378	-98553429	29495496
6379	-98551194	29496270
6381	-98551105	29499013
6382	-98553633	29499556
6384	-98550423	29499070
6385	-98555008	29500742
6386	-98555283	29508150
6387	-98552975	29504518
6388	-98550444	29502133
6391	-98550880	29504674
6393	-98551767	29509597
6396	-98553795	29509897
6397	-98556684	29514766
6399	-98553984	29515252
6400	-98552641	29511100
6401	-98553359	29514337
6402	-98552526	29510674
6403	-98552869	29511866
6404	-98552080	29511661
6405	-98551912	29510904
6407	-98551091	29508377
6408	-98553231	29514691
6409	-98552261	29512268
6411	-98552867	29515159
6412	-98549846	29513891
6414	-98560647	29529571
6416	-98554981	29522272
6417	-98549950	29521067
6418	-98549553	29522358
6419	-98549276	29492327
6420	-98547933	29492611
6421	-98549293	29494254
6422	-98548063	29494903
6425	-98547570	29493540
6430	-98545627	29489428
6432	-98547182	29493179
6433	-98546779	29493331
6434	-98546976	29494025
6436	-98547362	29497219
6437	-98545659	29496640
6438	-98547085	29493489
6442	-98549191	29503007
6444	-98543088	29508116
6446	-98546937	29502205
6447	-98549638	29504449
6448	-98543005	29508363
6449	-98543942	29502117
6451	-98544260	29506277
6452	-98543931	29504659
6455	-98540761	29509526
6472	-98540765	29509567
6473	-98545270	29515783
6474	-98544074	29514684
6475	-98547033	29516684
6476	-98546815	29517023
6477	-98545688	29518145
6478	-98544389	29519385
6479	-98541926	29521821
6497	-98564966	29528399
6498	-98562681	29531139
6499	-98562455	29530887
6500	-98562220	29530654
6501	-98562108	29531661
6502	-98561845	29531459
6503	-98558453	29526959
6504	-98560592	29529771
6506	-98556259	29525612
6507	-98559253	29527890
6508	-98561600	29531164
6510	-98554334	29524998
6511	-98550710	29528619
6512	-98556590	29536670
6513	-98552847	29540340
6514	-98565592	29541124
6516	-98560851	29544164
6521	-98547309	29531976
8466	-98583627	29534306
10038	-98550666	29507651
10039	-98550507	29503453
10040	-98550561	29504387
10041	-98552023	29509813
10203	-98584745	29549285
10204	-98584704	29549302
10205	-98582554	29547383
10206	-98579405	29544927
10207	-98575951	29542516
10208	-98564546	29533938
10209	-98555914	29523387
10212	-98553599	29517161
10500	-98578274	29543918
10501	-98574776	29542005
10502	-98577347	29543791
10503	-98574421	29542174
10504	-98560943	29530477
10506	-98571830	29540102
10507	-98569579	29537731
10508	-98552255	29509850
10511	-98548589	29499827
10513	-98548210	29497447
10583	-98560760	29529307
10589	-98575061	29526143
10661	-98574935	29503195
10719	-98597964	29521022
10721	-98590832	29518003
10773	-98543938	29506796
10774	-98544617	29507320
10775	-98554456	29494682
10776	-98554157	29493853
10777	-98554706	29493530
10778	-98555130	29494201
10782	-98548610	29500959
10785	-98547641	29497723
10786	-98551247	29498160
10787	-98546135	29504432
10788	-98551076	29496681
10789	-98549539	29505407
10790	-98545458	29506304
10791	-98547893	29494901
10792	-98551060	29507314
10793	-98548053	29496587
10794	-98551207	29506189
10795	-98550058	29503621
10796	-98549104	29500506
10797	-98548286	29496135
10814	-98552410	29495699
10815	-98546764	29504108
10816	-98550962	29496609
10817	-98549844	29498361
10818	-98548096	29501430
10819	-98545907	29504164
10820	-98547447	29497729
10821	-98548202	29500630
10822	-98548099	29498767
10823	-98550584	29506613
10824	-98549095	29503745
10825	-98545187	29506230
10827	-98549369	29501935
10828	-98546437	29505785
10878	-98551757	29495755
10879	-98550825	29497094
10881	-98548178	29503703
10905	-98568175	29490039
10906	-98568420	29489738
10908	-98566533	29489004
10909	-98573779	29489200
10910	-98575238	29489286
10912	-98574531	29489862
10913	-98581496	29488895
11026	-98545276	29505599
11027	-98551715	29497149
11028	-98550119	29497078
11029	-98549159	29499552
11625	-98552324	29511371
11626	-98549124	29501813
11627	-98548724	29498219
11630	-98547410	29499664
11637	-98545673	29489380
11677	-98555460	29523157
11678	-98555359	29522758
11679	-98556122	29522628
11680	-98556329	29523319
11681	-98555589	29523559
11682	-98556270	29522964
11685	-98557318	29525573
11686	-98555390	29520697
11690	-98554568	29518551
11691	-98555110	29518921
11694	-98557022	29526008
11697	-98557133	29526674
11700	-98554831	29521286
11701	-98554619	29517579
11703	-98558813	29528433
11704	-98569972	29539108
11705	-98570862	29538983
11706	-98571419	29539474
11707	-98571472	29540292
11708	-98578709	29544205
11709	-98578301	29544639
11710	-98579541	29544758
11711	-98578879	29545008
11714	-98570231	29538828
11715	-98563682	29529650
11716	-98556168	29525043
11717	-98556854	29522579
11718	-98554458	29520052
11719	-98551743	29510375
11720	-98551461	29512227
11721	-98550226	29505789
11722	-98546446	29503281
11723	-98550415	29501927
11724	-98552898	29491579
11727	-98569852	29493021
11732	-98559071	29534189
11733	-98568296	29495298
11734	-98556191	29507352
11735	-98552953	29510759
11736	-98553531	29510136
11737	-98579753	29522054
11740	-98575094	29488649
11741	-98572918	29487909
11742	-98579241	29544498
11743	-98579167	29544228
11744	-98578716	29544963
11745	-98578381	29544947
11746	-98576761	29542922
11747	-98578339	29499781
11748	-98581872	29502004
11749	-98590933	29507729
11750	-98593768	29518164
11751	-98571660	29505584
11752	-98570635	29508655
11753	-98581288	29508539
11754	-98566683	29511248
11755	-98600144	29523418
11756	-98599664	29523316
11757	-98599550	29524058
11758	-98600016	29524140
11759	-98589564	29534990
11760	-98588780	29534433
11761	-98589280	29534250
11762	-98588746	29533860
11763	-98579016	29538659
11764	-98585027	29538526
11765	-98586254	29539613
11766	-98584860	29538700
11767	-98585259	29538733
11768	-98576300	29547044
11769	-98575065	29546112
11770	-98576944	29547946
11771	-98574001	29549282
11772	-98574317	29549480
11773	-98573195	29548489
11774	-98570434	29493206
11775	-98576944	29486837
11776	-98577792	29487490
